Weights,,,,,,,,,,,,,,,,,,,,
,Digit,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,,,,,,,,,,
1,0,0,1,-1,-1,-1,0,3,0,-2,,,,,,,,,,
2,1,-6,-2,1,3,-1,-5,4,4,2,,,,,,,,,,
3,0,1,-1,1,-5,-1,2,-1,2,5,,,,,,,,,,
4,0,0,0,-2,-4,4,1,1,3,-5,,,,,,,,,,
5,-4,4,-4,-2,-3,-4,-2,5,-4,2,,,,,,,,,,
6,-4,-2,3,6,0,-5,-2,1,-4,-2,,,,,,,,,,
7,6,-5,4,-4,0,-5,1,0,-3,0,,,,,,,,,,
8,-3,-4,-5,-3,4,1,5,-1,-2,2,,,,,,,,,,
9,-5,2,3,-3,2,-5,3,0,6,0,,,,,,,,,,
10,1,1,-1,2,-1,2,-1,-4,0,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Activations Grouped by Digit,,,,,,,,,,,,,,,,,,,,
,Digit,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,,,,,,,,,
2,0.9,0.0,0.2,0.8,1.0,0.9,0.1,1.0,0.9,1.0,,,,,,,,,,
3,1.0,1.0,0.9,1.0,0.1,0.8,0.9,0.9,1.0,1.0,,,,,,,,,,
4,1.0,0.9,0.9,0.9,0.0,1.0,1.0,0.9,1.0,0.1,,,,,,,,,,
5,0.0,0.9,0.0,0.1,0.1,0.0,0.0,1.0,0.0,0.7,,,,,,,,,,
6,0.0,0.3,0.8,0.9,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,
7,1.0,0.0,0.9,0.0,0.4,0.1,0.8,0.3,0.0,0.2,,,,,,,,,,
8,0.1,0.0,0.0,0.0,1.0,0.6,1.0,0.4,0.3,0.9,,,,,,,,,,
9,0.0,1.0,0.9,0.1,1.0,0.1,0.9,0.4,0.9,0.8,,,,,,,,,,
10,1.0,1.0,0.9,1.0,0.8,1.0,0.9,0.1,1.0,0.9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Information Density,,,,,,,,,Max,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,
,0.2,0.5,0.4,0.3,0.6,0.4,0.3,0.4,0.4,0.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Information Density between Labels,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,,,,,,,,,
,0.2,0.4,0.3,0.2,0.5,0.3,0.2,0.3,0.3,0.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Information Density in-Label,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,,,,,,,,,
,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Weights Distance,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,110,0,,,,,,,,,,,,,,,,,,
3,98,191,0,,,,,,,,,,,,,,,,,
4,61,197,139,0,,,,,,,,,,,,,,,,
5,109,253,154,241,0,,,,,,,,,,,,,,,
6,109,219,208,243,196,0,,,,,,,,,,,,,,
7,133,230,211,249,301,235,0,,,,,,,,,,,,,
8,159,216,168,216,234,289,251,0,,,,,,,,,,,,
9,119,256,153,179,228,212,244,226,0,,,,,,,,,,,
10,100,150,64,133,217,171,217,159,197,0,,,,,,,,,,
